Daniela Klaiman,"Tendências, Planejamento, Pesquisa",Diretora de Planejamento @ BOX1824,br.linkedin.com/pub/daniela-klaiman/7a/5b6/443/pt,SP
Daniela Miranda,"PR, Influenciadores, Relacionamento",Fundadora @ Quero Ser Social Media,br.linkedin.com/in/danimiranda/pt,SP
Daniele Rodrigues,"Planejamento, Conteúdo estratégico e Segunda Tela",Real Time Conceptor @ Coca-Cola Brasil,https://www.linkedin.com/in/danirodrigues,RJ
Déborah De Mari,"Social Media, Conteúdo para Ecommerce e Comunicação Integrada",Gerente de Branding Walmart.com,https://br.linkedin.com/in/deborahdemari,SP
Denise Bissacot,"Mídia, Gestão de Equipe, Digital",Diretora de Mídia @ AG2 Nurun,br.linkedin.com/pub/denise-charlier-bissacot/3/992/69/pt,SP
Denise Koche,Planejamento,Diretora de Planejamento @ Terruá,br.linkedin.com/in/denisekoche/pt,BSB
Diana Assennato,"Empreendedorismo, Digital Media",Co-fundadora @ B.arco,https://www.linkedin.com/in/diassennato,SP
Elisa Gorgatti,Criação,Diretora de Criação @ Today.ag e Fundadora @ Persona,br.linkedin.com/in/elisagatti/en,SP
Érica Navarro,"Social Media, Gestão de Crise, Monitoramento e Métricas",Social Media Senior @ Founders,https://www.linkedin.com/in/ericalealnavarro,MG
Fabiane Secches,"Conteúdo, Empreendedorismo",Fundadora @ Confeitaria Mag,br.linkedin.com/in/fabianesecches/pt,SP
Fabíola Amorim ,"Digital, Gestão de Projetos, Social, Política",Fundadora @ Bigud Social,br.linkedin.com/in/bilaamorim/pt,SP
Fernanda Cabral,"Ativismo, Estratégia, Projetos Digitais",Cofundadora @ Imagina na Copa - Imagina Coletivo,https://www.linkedin.com/pub/fernanda-cabral/25/293/848?trk=pub-pbmap,SP
Fernanda Cardoso,"Conteúdo, Planejamento, PR",Diretora de Influência @ Mutato,br.linkedin.com/pub/fernanda-cardoso/b0/60/539/en,SP
Fernanda Guimarães,"Conteúdo, Planejamento",Diretora de Criação @ New Content,br.linkedin.com/in/fernandaguimaraes/en,SP
Fernanda Mota,Planejamento,Planejamento @ Staff,br.linkedin.com/in/nandamota/en,RJ
Fernanda Pereira,Planejamento,Supervisora de Planejamento @ Africa,br.linkedin.com/in/ferspereira87/en,SP
Flavia Simon,Marketing,Head of Consumer Marketing @ Google,https://br.linkedin.com/in/flaviasimon,SP
Flávia Spinelli ,Planejamento estratégico,VP Strategy Planning @ Lov,br.linkedin.com/pub/flavia-spinelli/5/a9/189/pt,SP
Gabriela Bianco,"Planejamento, Conteúdo, Relacionamento",Planejamento @ Agência Gude,br.linkedin.com/in/gabibianco/pt,SP
